,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
0,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_274_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.13,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
1,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_88_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
2,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_268_1_input,POP PUSH 1 PUSH [tag] 235,10,TRUE,TRUE,model,0.14,3,6,8,3,0,0,0,POP PUSH 1 PUSH [tag] 235,3,3,6,8,TRUE,
3,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_219_0_input,DUP2 MLOAD DUP1 ISZERO ISZERO DUP2 EQ PUSH [tag] 317,10,TRUE,TRUE,model,0.35,8,10,24,8,0,0,0,DUP2 MLOAD DUP1 ISZERO ISZERO DUP2 EQ PUSH [tag] 317,8,8,10,24,TRUE,
4,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_307_0_input,PUSH 9 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 401,10,TRUE,TRUE,model,0.25,6,9,2115,6,0,0,0,PUSH 9 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 401,6,6,9,2115,TRUE,
5,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_47_0_input,PUSH 40 MLOAD SWAP1 DUP2 MSTORE PUSH 20 ADD PUSH [tag] 31,10,TRUE,TRUE,model,0.35,8,12,24,8,0,0,0,PUSH 20 PUSH 40 MLOAD SWAP2 DUP3 MSTORE ADD PUSH [tag] 31,8,8,12,24,TRUE,
6,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_710_0_input,PUSH0 PUSH 1 DUP3 ADD PUSH [tag] 954,10,TRUE,TRUE,model,0.21,5,8,14,5,0,0,0,PUSH0 DUP2 PUSH 1 ADD PUSH [tag] 954,5,5,8,14,TRUE,
7,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_43_0_input,PUSH 2 SLOAD,10,TRUE,TRUE,model,0.12,2,3,2103,2,0,0,0,PUSH 2 SLOAD,2,2,3,2103,TRUE,
8,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_246_0_input,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 5 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD PUSH ff AND,10,TRUE,FALSE,model,295.04,21,28,2185,21,0,1,0,PUSH 5 PUSH 20 MSTORE PUSH ff PUSH 40 DUP6 PUSH 1 DUP1 PUSH a0 SHL SUB AND PUSH0 SWAP1 DUP2 MSTORE KECCAK256 SLOAD SWAP2 POP AND,21,21,27,2185,TRUE,
9,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_Ownable_run_code_of_0_block_0_0_input,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,10,TRUE,TRUE,model,0.25,7,11,20,7,0,0,1,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO PUSH [tag] 1,7,7,11,19,TRUE,
10,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_372_0_input,SWAP1 POP PUSH 4 SLOAD DUP2 LT ISZERO PUSH [tag] 591,10,TRUE,TRUE,model,0.33,8,11,2120,8,0,0,0,SWAP1 POP PUSH 4 SLOAD DUP2 LT ISZERO PUSH [tag] 591,8,8,11,2120,TRUE,
11,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_576_0_input,SWAP5 SWAP4 POP POP POP POP,10,TRUE,TRUE,model,0.17,6,6,14,6,0,0,0,SWAP5 SWAP4 POP POP POP POP,6,6,6,14,TRUE,
12,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_192_0_input,SWAP1 SWAP3 POP SWAP1 POP PUSH [tag] 301 DUP3 DUP3 PUSH [tag] 151,10,TRUE,TRUE,model,0.28,9,13,25,9,1,1,3,SWAP2 POP SWAP2 POP PUSH [tag] 301 DUP3 DUP3 PUSH [tag] 151,8,8,12,22,TRUE,
13,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_243_0_input,POP,10,TRUE,TRUE,model,0.12,1,1,2,1,0,0,0,POP,1,1,1,2,TRUE,
14,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_initial_block_15_0_input,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 11 PUSH 4 MSTORE PUSH 24 PUSH0,10,TRUE,TRUE,model,0.68,10,18,28,10,0,0,0,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 11 PUSH 4 MSTORE PUSH 24 PUSH0,10,10,18,28,TRUE,
15,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_405_0_input,PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,10,TRUE,TRUE,model,0.62,11,16,33,11,0,1,0,PUSH 1 DUP1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,11,11,15,33,TRUE,
16,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_1_0_input,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,10,TRUE,TRUE,model,0.39,8,15,23,8,0,0,0,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,8,8,15,23,TRUE,
17,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_initial_block_4_0_input,POP PUSH 4 PUSH [tag] 8 DUP3 DUP3 PUSH [tag] 7,10,TRUE,TRUE,model,0.25,6,11,17,6,0,0,0,POP PUSH 4 PUSH [tag] 8 DUP3 DUP3 PUSH [tag] 7,6,6,11,17,TRUE,
18,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_210_0_input,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 307,10,TRUE,TRUE,model,0.45,9,12,26,9,0,0,0,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 307,9,9,12,26,TRUE,
19,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_296_0_input,SWAP3 SWAP2 POP POP,10,TRUE,TRUE,model,0.14,4,4,10,4,0,0,0,SWAP3 SWAP2 POP POP,4,4,4,10,TRUE,
20,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_334_0_input,SWAP1 POP PUSH0 PUSH [tag] 419 DUP3 PUSH [tag] 420 DUP12 DUP7 PUSH [tag] 383,10,TRUE,TRUE,model,0.74,9,15,25,9,0,0,0,SWAP1 POP PUSH0 PUSH [tag] 419 DUP3 PUSH [tag] 420 DUP12 DUP7 PUSH [tag] 383,9,9,15,25,TRUE,
21,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_64_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.13,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
22,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_ERC20_run_code_of_0_block_102_0_input,PUSH [tag] 162 DUP4 PUSH [tag] 138,10,TRUE,TRUE,model,0.15,3,7,9,3,0,0,0,PUSH [tag] 162 DUP4 PUSH [tag] 138,3,3,7,9,TRUE,
23,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_203_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
24,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_220_1_input,PUSH 40 SWAP1 KECCAK256 SLOAD PUSH 3 SLOAD PUSH [tag] 348 SWAP2 DUP6 SWAP2 PUSH [tag] 349 SWAP2 PUSH [tag] 205,10,TRUE,TRUE,model,7.94,13,21,4260,13,3,3,9,DUP4 PUSH [tag] 349 PUSH 3 SLOAD PUSH 40 PUSH [tag] 348 SWAP5 KECCAK256 SLOAD PUSH [tag] 205,10,10,18,4251,TRUE,
25,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_initial_block_3_1_input,PUSH 40 MLOAD SWAP1 SWAP2 DUP3 SWAP2 PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 SWAP1 DUP3 SWAP1,10,TRUE,TRUE,model,0.36,10,43,30,10,4,4,12,DUP1 SWAP2 PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 DUP2 PUSH 40 MLOAD,6,6,39,18,TRUE,
26,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_10_0_input,DUP1 PUSH a532ae77 EQ PUSH [tag] 25,10,TRUE,TRUE,model,0.17,4,10,12,4,0,0,0,PUSH a532ae77 DUP2 EQ PUSH [tag] 25,4,4,10,12,TRUE,
27,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_386_0_input,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,10,TRUE,TRUE,model,0.38,8,11,23,8,0,0,0,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,8,8,11,23,TRUE,
28,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_37_0_input,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,10,TRUE,TRUE,model,0.24,5,12,14,5,0,0,0,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,5,5,12,14,TRUE,
29,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_initial_block_55_0_input,PUSH 2 DUP2 EQ PUSH [tag] 93,10,TRUE,TRUE,model,0.17,4,7,12,4,0,0,0,PUSH 2 DUP2 EQ PUSH [tag] 93,4,4,7,12,TRUE,
30,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_225_0_input,ISZERO PUSH [tag] 293,10,TRUE,TRUE,model,0.13,2,4,6,2,0,0,0,ISZERO PUSH [tag] 293,2,2,4,6,TRUE,
31,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_90_0_input,PUSH [tag] 138 CALLER DUP3 PUSH [tag] 140,10,TRUE,TRUE,model,0.18,4,8,11,4,0,0,0,PUSH [tag] 138 CALLER DUP3 PUSH [tag] 140,4,4,8,11,TRUE,
32,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_initial_block_25_0_input,DUP2 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,10,TRUE,TRUE,model,0.72,11,16,33,11,0,1,0,DUP2 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,11,11,15,33,TRUE,
33,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_190_0_input,PUSH0 PUSH [tag] 235 DUP2 DUP4 PUSH [tag] 291,10,TRUE,TRUE,model,0.21,5,9,14,5,0,0,0,PUSH0 PUSH [tag] 235 DUP2 DUP4 PUSH [tag] 291,5,5,9,14,TRUE,
34,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_67_0_input,PUSH [tag] 27 PUSH [tag] 105 CALLDATASIZE PUSH 4 PUSH [tag] 72,10,TRUE,TRUE,model,0.28,5,12,14,5,0,0,0,PUSH [tag] 27 PUSH [tag] 105 CALLDATASIZE PUSH 4 PUSH [tag] 72,5,5,12,14,TRUE,
35,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_154_0_input,PUSH 14 SLOAD PUSH 1 PUSH a0 SHL SWAP1 DIV PUSH ff AND ISZERO PUSH [tag] 208,10,TRUE,TRUE,model,0.54,11,17,2132,11,3,4,11,PUSH ff PUSH 14 SLOAD PUSH a0 SHR AND ISZERO PUSH [tag] 208,8,8,13,2121,TRUE,
36,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_600_0_input,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 767,10,TRUE,TRUE,model,0.5,9,12,26,9,0,0,0,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 767,9,9,12,26,TRUE,
37,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_Ownable_run_code_of_0_block_35_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 40 SWAP1 PUSH [tag] 41,10,TRUE,TRUE,model,1.41,12,22,36,12,1,1,3,PUSH [tag] 40 PUSH 40 MLOAD PUSH 4 PUSH 461bcd PUSH e5 SHL DUP3 MSTORE ADD PUSH [tag] 41,11,11,21,33,TRUE,
38,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_401_19_input,DUP3 SLOAD DUP1 DUP7 ADD DUP5 SSTORE DUP3 ADD DUP1 SLOAD DUP3 AND PUSH dc81a3450817a58d00f45c86d0368290088db848 OR SWAP1,10,TRUE,TRUE,model,12.15,16,36,7139,16,0,0,0,DUP3 SLOAD DUP6 DUP2 ADD DUP5 SSTORE DUP3 ADD PUSH dc81a3450817a58d00f45c86d0368290088db848 DUP3 DUP3 SLOAD AND OR SWAP1,16,16,36,7139,TRUE,
39,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_517_0_input,PUSH [tag] 181 PUSH [tag] 555,10,TRUE,TRUE,model,0.14,2,6,6,2,0,0,0,PUSH [tag] 181 PUSH [tag] 555,2,2,6,6,TRUE,
40,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_326_0_input,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH0,10,TRUE,TRUE,model,0.68,10,18,28,10,0,0,0,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH0,10,10,18,28,TRUE,
41,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_250_0_input,RETURNDATASIZE PUSH0 DUP1,10,TRUE,TRUE,model,0.15,3,3,7,3,0,0,0,RETURNDATASIZE PUSH0 DUP1,3,3,3,7,TRUE,
42,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_166_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 22 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,26.1,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 20 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE DUP3 PUSH 4 ADD MSTORE PUSH 22 PUSH 24 DUP4 ADD MSTORE DUP2 PUSH 44 ADD,21,21,63,63,TRUE,
43,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_24_0_input,DUP1 PUSH 95ea7b3 EQ PUSH [tag] 5,10,TRUE,TRUE,model,0.17,4,10,12,4,0,0,0,PUSH 95ea7b3 DUP2 EQ PUSH [tag] 5,4,4,10,12,TRUE,
44,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_353_0_input,PUSH [tag] 470 PUSH [tag] 255,10,TRUE,TRUE,model,0.14,2,6,6,2,0,0,0,PUSH [tag] 470 PUSH [tag] 255,2,2,6,6,TRUE,
45,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_53_0_input,DUP1 PUSH [tag] 78,10,TRUE,TRUE,model,0.13,2,4,6,2,0,0,0,DUP1 PUSH [tag] 78,2,2,4,6,TRUE,
46,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_268_0_input,PUSH [tag] 350 CALLER DUP4 PUSH [tag] 222,10,TRUE,TRUE,model,0.17,4,8,11,4,0,0,0,PUSH [tag] 350 CALLER DUP4 PUSH [tag] 222,4,4,8,11,TRUE,
47,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_292_1_input,SWAP1 DUP11 AND DUP2,10,TRUE,TRUE,model,0.2,4,4,12,4,0,0,0,SWAP1 DUP11 AND DUP2,4,4,4,12,TRUE,
48,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_334_0_input,ADDRESS PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD SWAP1 SWAP2 POP PUSH [tag] 434 SWAP1 DUP3 PUSH [tag] 292,10,TRUE,FALSE,model,288.57,19,26,2178,19,3,3,9,PUSH 40 PUSH 2 PUSH 20 MSTORE PUSH0 ADDRESS DUP2 MSTORE PUSH [tag] 434 SWAP3 SWAP4 POP KECCAK256 SLOAD DUP3 PUSH [tag] 292,16,16,23,2169,TRUE,
49,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_436_0_input,SWAP3 POP PUSH [tag] 592 PUSH 20 DUP6 ADD PUSH [tag] 553,10,TRUE,TRUE,model,0.29,7,12,20,7,0,0,0,SWAP3 POP PUSH [tag] 592 PUSH 20 DUP6 ADD PUSH [tag] 553,7,7,12,20,TRUE,
50,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_60_1_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.08,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,
51,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_417_0_input,RETURNDATASIZE PUSH0 DUP1,10,TRUE,TRUE,model,0.15,3,3,7,3,0,0,0,RETURNDATASIZE PUSH0 DUP1,3,3,3,7,TRUE,
52,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_initial_block_6_1_input,PUSH 20 ADD PUSH0 KECCAK256 DUP2 SWAP1,10,TRUE,TRUE,model,0.24,6,7,44,6,0,0,0,PUSH 20 ADD DUP2 SWAP1 PUSH0 KECCAK256,6,6,7,44,TRUE,
53,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_217_0_input,PUSH d SLOAD DUP3 SUB PUSH [tag] 263,10,TRUE,TRUE,model,0.22,5,8,2112,5,0,0,0,PUSH d SLOAD DUP3 SUB PUSH [tag] 263,5,5,8,2112,TRUE,
54,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_363_0_input,SWAP3 SWAP6 SWAP3 SWAP5 POP POP POP PUSH 40 SWAP2 SWAP1 SWAP2 ADD CALLDATALOAD SWAP1,10,TRUE,TRUE,model,2.93,14,15,39,14,4,4,12,SWAP4 PUSH 40 ADD CALLDATALOAD SWAP4 SWAP5 POP POP POP SWAP3,10,10,11,27,TRUE,
55,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_Ownable_run_code_of_0_block_29_0_input,PUSH 1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND CALLER EQ PUSH [tag] 45,10,FALSE,FALSE,unsat,0.85,11,17,2129,11,0,0,0,,,,,,TRUE,
56,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_191_0_input,PUSH [tag] 216 DUP4 DUP4 DUP4 PUSH [tag] 227,10,TRUE,TRUE,model,0.19,5,9,15,5,0,0,0,PUSH [tag] 216 DUP4 DUP4 DUP4 PUSH [tag] 227,5,5,9,15,TRUE,
57,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_88_0_input,PUSH [tag] 144 DUP4 PUSH [tag] 134,10,TRUE,TRUE,model,0.15,3,7,9,3,0,0,0,PUSH [tag] 144 DUP4 PUSH [tag] 134,3,3,7,9,TRUE,
58,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_346_0_input,SWAP1 POP PUSH0 PUSH [tag] 448 DUP9 DUP9 PUSH [tag] 288,10,TRUE,TRUE,model,0.35,7,11,19,7,0,0,0,SWAP1 POP PUSH0 PUSH [tag] 448 DUP9 DUP9 PUSH [tag] 288,7,7,11,19,TRUE,
59,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_272_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 297,10,TRUE,TRUE,model,0.16,4,6,11,4,0,0,0,CALLVALUE DUP1 ISZERO PUSH [tag] 297,4,4,6,11,TRUE,
60,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_107_0_input,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 22 PUSH 4 MSTORE PUSH 24 PUSH0,10,TRUE,TRUE,model,0.68,10,18,28,10,0,0,0,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 22 PUSH 4 MSTORE PUSH 24 PUSH0,10,10,18,28,TRUE,
61,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_ERC20_run_code_of_0_block_61_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a2064656372656173656420616c6c6f77616e63652062656c6f77 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,24.67,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 45524332303a2064656372656173656420616c6c6f77616e63652062656c6f77 PUSH 20 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE DUP3 PUSH 4 ADD MSTORE PUSH 25 PUSH 24 DUP4 ADD MSTORE DUP2 PUSH 44 ADD,21,21,63,63,TRUE,
62,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_26_0_input,PUSH 40 MLOAD PUSH [tag] 22 SWAP2 SWAP1 PUSH [tag] 27,10,TRUE,TRUE,model,0.22,6,11,18,6,1,1,3,PUSH [tag] 22 SWAP1 PUSH 40 MLOAD PUSH [tag] 27,5,5,10,15,TRUE,
63,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_642_1_input,PUSH 40 SWAP1 KECCAK256 SLOAD SWAP6 SWAP12 POP SWAP4 SWAP10 POP SWAP2 SWAP8 POP SWAP6 POP SWAP4 POP SWAP2 POP PUSH [tag] 862 SWAP1 DUP8 PUSH [tag] 432,10,FALSE,FALSE,no_model,300.35,23,28,2187,23,0,0,0,,,,,,TRUE,
64,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_282_0_input,DUP1 CALLDATALOAD PUSH ff DUP2 AND DUP2 EQ PUSH [tag] 307,10,TRUE,TRUE,model,0.34,8,11,24,8,0,0,0,DUP1 CALLDATALOAD DUP1 PUSH ff AND DUP2 EQ PUSH [tag] 307,8,8,11,24,TRUE,
65,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_initial_block_15_0_input,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 11 PUSH 4 MSTORE PUSH 24 PUSH0,10,TRUE,TRUE,model,0.52,10,18,28,10,0,0,0,PUSH 4e487b71 PUSH e0 SHL PUSH0 MSTORE PUSH 11 PUSH 4 MSTORE PUSH 24 PUSH0,10,10,18,28,TRUE,
66,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_178_1_input,PUSH 7373 PUSH f0 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.29,6,10,18,6,0,0,0,PUSH 7373 PUSH f0 SHL DUP2 PUSH 64 ADD,6,6,10,18,TRUE,
67,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_337_0_input,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH [tag] 533,10,TRUE,TRUE,model,0.53,9,14,26,9,0,1,0,PUSH0 PUSH 1 DUP1 PUSH a0 SHL SUB DUP4 AND PUSH [tag] 533,9,9,13,26,TRUE,
68,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_340_0_input,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,10,TRUE,TRUE,model,0.2,6,7,18,6,0,0,0,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,6,6,7,18,TRUE,
69,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_276_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
70,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_569_0_input,PUSH [tag] 776 PUSH [tag] 375,10,TRUE,TRUE,model,0.14,2,6,6,2,0,0,0,PUSH [tag] 776 PUSH [tag] 375,2,2,6,6,TRUE,
71,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_375_0_input,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND PUSH0 DUP2 DUP2 MSTORE PUSH 2 PUSH 20 SWAP1 DUP2,10,TRUE,TRUE,model,16.19,16,21,46,16,1,2,3,POP PUSH 1 DUP1 PUSH a0 SHL SUB DUP5 AND PUSH0 PUSH 20 DUP3 DUP3 MSTORE PUSH 2 DUP2,15,15,19,43,TRUE,
72,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_158_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 160,10,TRUE,TRUE,model,0.15,4,6,11,4,0,0,0,CALLVALUE DUP1 ISZERO PUSH [tag] 160,4,4,6,11,TRUE,
